Driver,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,Team,Deleted,Season,Race
RUS,85.376,1.0,1.0,,25.462,31.643,MEDIUM,Mercedes,False,2023,Canada
MAG,98.425,1.0,1.0,,43.991,21.57,HARD,Haas F1 Team,False,2023,Monaco
SAR,144.824,1.0,1.0,,70.508,27.853,MEDIUM,Williams,False,2023,Japan
OCO,106.965,1.0,1.0,,34.912,25.512,MEDIUM,Alpine,False,2023,Hungary
GAS,124.981,1.0,1.0,,41.231,36.698,SOFT,Alpine,False,2023,Hungary
VER,115.659,1.0,1.0,,49.787,29.968,SOFT,Red Bull Racing,False,2023,Belgium
RUS,96.022,1.0,1.0,,33.469,24.508,HARD,Mercedes,False,2023,Hungary
RUS,107.629,1.0,1.0,,42.008,34.949,MEDIUM,Mercedes,False,2023,United States
ALB,106.453,1.0,1.0,,45.491,24.742,SOFT,Williams,False,2023,Bahrain
STR,96.787,1.0,1.0,,32.64,30.195,MEDIUM,Aston Martin,False,2023,Italy
RUS,131.238,1.0,1.0,,67.493,38.514,SOFT,Mercedes,False,2023,Brazil
HUL,91.561,1.0,1.0,,34.777,22.371,MEDIUM,Haas F1 Team,False,2023,Mexico
SAR,114.06,1.0,1.0,,48.432,28.675,MEDIUM,Williams,False,2023,Singapore
NOR,101.712,1.0,1.0,,40.386,33.341,MEDIUM,McLaren,False,2023,United States
HUL,113.245,1.0,1.0,,42.043,34.752,HARD,Haas F1 Team,False,2023,United States
SAI,94.694,1.0,1.0,,29.401,31.249,SOFT,Ferrari,False,2023,Netherlands
DEV,109.959,1.0,1.0,,46.835,25.179,SOFT,AlphaTauri,False,2023,Bahrain
BOT,110.847,1.0,1.0,,43.18,34.685,MEDIUM,Alfa Romeo,False,2023,United States
ALB,145.855,1.0,1.0,,71.816,29.713,MEDIUM,Williams,False,2023,Japan
SAR,102.022,1.0,1.0,,40.261,36.662,MEDIUM,Williams,False,2023,Abu Dhabi
PER,108.071,1.0,1.0,,42.018,35.127,MEDIUM,Red Bull Racing,False,2023,United States
DEV,93.449,1.0,1.0,,40.159,22.267,MEDIUM,AlphaTauri,False,2023,Monaco
ZHO,108.931,1.0,1.0,,41.918,34.847,MEDIUM,Alfa Romeo,False,2023,United States
DEV,91.797,1.0,1.0,,35.153,25.236,SOFT,AlphaTauri,False,2023,Spain
